sample_index,subject,true_class,pseudo_class,reliability,selected,before_pc1,before_pc2,after_pc1,after_pc2
0,13,2,2,0.9999485611915588,1,-0.6311834454536438,0.5324726700782776,-7.236847877502441,0.5467789769172668
1,13,2,2,0.999948263168335,1,-0.6316412091255188,0.5321322083473206,-7.245289325714111,0.5320078730583191
2,13,2,2,0.9999479651451111,1,-0.6326627731323242,0.5315771102905273,-7.268649101257324,0.49365273118019104
3,13,2,2,0.9999455213546753,1,-0.6340863108634949,0.5328711867332458,-7.44069242477417,0.28402402997016907
4,13,2,2,0.9999448657035828,1,-0.6359957456588745,0.5357942581176758,-7.454375267028809,0.24525851011276245
5,13,2,2,0.9999443888664246,1,-0.6376153230667114,0.5385069847106934,-7.459661483764648,0.22759181261062622
6,13,2,2,0.9999434351921082,1,-0.6379265189170837,0.5416702628135681,-7.464907169342041,0.2088215947151184
7,13,2,2,0.9999421238899231,1,-0.6394178867340088,0.546268105506897,-7.4711079597473145,0.18585708737373352
8,13,2,2,0.9999404549598694,1,-0.6433846950531006,0.5526760816574097,-7.477490425109863,0.15965771675109863
9,13,2,2,0.9999384880065918,1,-0.6461611390113831,0.559080958366394,-7.485559463500977,0.12481659650802612
10,13,2,2,0.9999362230300903,1,-0.649077296257019,0.5664668083190918,-7.492457389831543,0.08492422103881836
11,13,2,2,0.9999268651008606,1,-0.651960551738739,0.5723541975021362,-7.4991774559021,0.03345620632171631
12,13,2,2,0.9999077320098877,1,-0.6548480987548828,0.5776946544647217,-7.502077579498291,-0.04610419273376465
13,13,2,2,0.999907910823822,1,-0.6583579182624817,0.5836324095726013,-7.504148960113525,-0.12380379438400269
14,13,2,2,0.9999068975448608,1,-0.6639497876167297,0.5879313945770264,-7.535542011260986,-0.1794416904449463
15,13,2,2,0.9999062418937683,1,-0.6686109900474548,0.5915472507476807,-7.581005096435547,-0.2501794695854187
16,13,2,2,0.9999061822891235,1,-0.6730846762657166,0.5937044024467468,-7.576638221740723,-0.25920963287353516
17,13,2,2,0.9999061226844788,1,-0.678784966468811,0.595577597618103,-7.576045513153076,-0.26063841581344604
