sample_index,subject,true_class,pseudo_class,reliability,selected,before_pc1,before_pc2,after_pc1,after_pc2
0,13,2,2,0.9999003410339355,1,-0.3744972348213196,-0.7487836480140686,-2.995353937149048,4.93366813659668
1,13,2,2,0.9999003410339355,1,-0.3752868175506592,-0.7489303350448608,-2.9953503608703613,4.93372917175293
2,13,2,2,0.999900221824646,1,-0.3770090341567993,-0.7485848665237427,-2.9953362941741943,4.933837890625
3,13,2,2,0.999900221824646,1,-0.378603994846344,-0.7471337914466858,-2.9953112602233887,4.933959007263184
4,13,2,2,0.999900221824646,1,-0.3787209391593933,-0.74437016248703,-2.995272397994995,4.934108734130859
5,13,2,2,0.999900221824646,1,-0.378656804561615,-0.7399513721466064,-2.9952163696289062,4.934231758117676
6,13,2,2,0.999900221824646,1,-0.37925440073013306,-0.7352826595306396,-2.995157480239868,4.934364318847656
7,13,2,2,0.999900221824646,1,-0.378839373588562,-0.7299798130989075,-2.9951112270355225,4.934508323669434
8,13,2,2,0.999900221824646,1,-0.3794776201248169,-0.7236842513084412,-2.9950428009033203,4.934606552124023
9,13,2,2,0.9999001622200012,1,-0.37952369451522827,-0.7173440456390381,-2.9949820041656494,4.9347686767578125
10,13,2,2,0.999900221824646,1,-0.38007479906082153,-0.7111602425575256,-2.9949309825897217,4.934948921203613
11,13,2,2,0.9999001622200012,1,-0.38117021322250366,-0.7054533362388611,-2.9949045181274414,4.9351396560668945
12,13,2,2,0.9999001622200012,1,-0.38164985179901123,-0.7003583908081055,-2.9948928356170654,4.935306549072266
13,13,2,2,0.9999001622200012,1,-0.3822591304779053,-0.6957109570503235,-2.9948842525482178,4.935520172119141
14,13,2,2,0.9999001622200012,1,-0.38438767194747925,-0.6901871562004089,-2.9948573112487793,4.935776710510254
15,13,2,2,0.9999002814292908,1,-0.38635146617889404,-0.6857931613922119,-2.9948227405548096,4.935976982116699
16,13,2,2,0.9999002814292908,1,-0.38776570558547974,-0.6820247173309326,-2.9948158264160156,4.936200141906738
17,13,2,2,0.9999001622200012,1,-0.3887348175048828,-0.6766839623451233,-2.994797706604004,4.936402320861816
18,13,2,2,0.999900221824646,1,-0.38783520460128784,-0.6705430746078491,-2.9947893619537354,4.936611175537109
19,13,2,2,0.9999001026153564,1,-0.3862185478210449,-0.6657006144523621,-2.9947967529296875,4.936820983886719
20,13,2,2,0.999900221824646,1,-0.3839240074157715,-0.6623269319534302,-2.9948067665100098,4.936988830566406
21,13,2,2,0.9999001622200012,1,-0.3816302418708801,-0.6602935194969177,-2.994858741760254,4.937066078186035
22,13,2,2,0.9999001622200012,1,-0.37862712144851685,-0.6588303446769714,-2.9949564933776855,4.937078475952148
23,13,2,2,0.9999001622200012,1,-0.3766813278198242,-0.6581155061721802,-2.9950497150421143,4.937094688415527
24,13,2,2,0.9999001622200012,1,-0.3750346302986145,-0.6573657393455505,-2.9951183795928955,4.937094688415527
25,13,2,2,0.9999001622200012,1,-0.3744472861289978,-0.6564450860023499,-2.9951908588409424,4.937065124511719
26,13,2,2,0.9999001622200012,1,-0.3735981583595276,-0.6565254926681519,-2.995272159576416,4.9369659423828125
27,13,2,2,0.9999001622200012,1,-0.37113505601882935,-0.657707691192627,-2.9953370094299316,4.936834335327148
28,13,2,2,0.9999001622200012,1,-0.3681768774986267,-0.6609670519828796,-2.995408773422241,4.936631202697754
29,13,2,2,0.999900221824646,1,-0.36444753408432007,-0.6639053821563721,-2.9954843521118164,4.936400413513184
