representation,sample_index,split,subject,pc1,pc2
shared,0,source,14,-2.8931026458740234,-6.986320495605469
shared,1,source,14,-2.8930985927581787,-6.986338138580322
shared,2,source,14,-2.893099069595337,-6.986351490020752
shared,3,source,14,-2.8931026458740234,-6.986359596252441
shared,4,source,14,-2.893103837966919,-6.986349582672119
shared,5,source,14,-2.89310884475708,-6.986330509185791
shared,6,source,14,-2.8931150436401367,-6.986298084259033
shared,7,source,14,-2.89313006401062,-6.9862589836120605
shared,8,source,14,-2.8931427001953125,-6.986213684082031
shared,9,source,14,-2.893152952194214,-6.9861578941345215
shared,10,source,14,-2.8931596279144287,-6.986087799072266
shared,11,source,14,-2.8931632041931152,-6.986019611358643
shared,12,source,14,-2.8931705951690674,-6.985952854156494
shared,13,source,14,-2.8931825160980225,-6.985890865325928
shared,14,source,14,-2.893190622329712,-6.98584508895874
shared,15,source,14,-2.893190622329712,-6.985800266265869
shared,16,source,14,-2.8931801319122314,-6.985769271850586
shared,17,source,14,-2.8931620121002197,-6.9857378005981445
shared,18,source,14,-2.8931381702423096,-6.985694885253906
shared,19,source,14,-2.893120765686035,-6.9856438636779785
shared,20,source,14,-2.8931055068969727,-6.985597610473633
shared,21,source,14,-2.893090009689331,-6.985565662384033
shared,22,source,14,-2.893073320388794,-6.985537052154541
shared,23,source,14,-2.8930578231811523,-6.985495567321777
shared,24,source,14,-2.893047332763672,-6.9854559898376465
shared,25,source,14,-2.893035411834717,-6.985413074493408
shared,26,source,14,-2.8930251598358154,-6.9853692054748535
shared,27,source,14,-2.893019914627075,-6.985313415527344
shared,28,source,14,-2.893017530441284,-6.985260009765625
shared,29,source,14,-2.8930180072784424,-6.985211372375488
shared,30,source,14,-2.8930180072784424,-6.985171318054199
shared,31,source,14,-2.8930177688598633,-6.985121726989746
shared,32,source,14,-2.8930230140686035,-6.985074996948242
shared,33,source,14,-2.8930275440216064,-6.985015869140625
shared,34,source,14,-2.8930301666259766,-6.984955310821533
shared,35,source,14,-2.8930251598358154,-6.984901428222656
shared,36,source,14,-2.8930211067199707,-6.9848480224609375
shared,37,source,14,-2.8930156230926514,-6.984789848327637
shared,38,source,14,-2.8930084705352783,-6.984751224517822
shared,39,source,14,-2.8930013179779053,-6.9847235679626465
shared,40,source,14,-2.8929975032806396,-6.98470401763916
shared,41,source,14,-2.8929920196533203,-6.98468017578125
shared,42,source,14,-2.892997980117798,-6.984670162200928
shared,43,source,14,-2.8930089473724365,-6.984652519226074
shared,44,source,14,-2.893014430999756,-6.984626293182373
shared,45,source,14,-2.8930137157440186,-6.984599590301514
shared,46,source,14,-2.893017053604126,-6.984572410583496
shared,47,source,14,-2.8930106163024902,-6.984550476074219
shared,48,source,14,-2.893014669418335,-6.984523296356201
shared,49,source,14,-2.893023729324341,-6.984493255615234
shared,50,source,14,-2.8930253982543945,-6.984465599060059
