sample_index,pca_1,pca_2,subject_id_0_based,true_class_id,pseudo_class_id,correct_pseudo_label,reliability,selected_tau_zero,selected_configured
0,1.1012028455734253,0.04178744927048683,13,2,2,1,0.997768223285675,1,1
1,1.1006982326507568,0.041604552417993546,13,2,2,1,0.997759997844696,1,1
2,1.100229263305664,0.041436776518821716,13,2,2,1,0.9977524876594543,1,1
3,1.0997976064682007,0.041325606405735016,13,2,2,1,0.9977460503578186,1,1
4,1.0990720987319946,0.04115081578493118,13,2,2,1,0.9977346062660217,1,1
5,1.0983772277832031,0.0410255491733551,13,2,2,1,0.9977233409881592,1,1
6,1.0977307558059692,0.04085333272814751,13,2,2,1,0.9977127909660339,1,1
7,1.09696626663208,0.04067688062787056,13,2,2,1,0.9977001547813416,1,1
8,1.096290111541748,0.04049922525882721,13,2,2,1,0.9976887106895447,1,1
9,1.095439076423645,0.04024970531463623,13,2,2,1,0.9976742267608643,1,1
10,1.0945097208023071,0.039946913719177246,13,2,2,1,0.9976580142974854,1,1
11,1.0935930013656616,0.03965804725885391,13,2,2,1,0.9976422190666199,1,1
12,1.0923874378204346,0.03933364525437355,13,2,2,1,0.9976210594177246,1,1
13,1.0908840894699097,0.03889845311641693,13,2,2,1,0.9975942373275757,1,1
14,1.0892560482025146,0.038378506898880005,13,2,2,1,0.9975646138191223,1,1
15,1.0879204273223877,0.03785669058561325,13,2,2,1,0.9975398778915405,1,1
16,1.0865557193756104,0.03721132129430771,13,2,2,1,0.9975144267082214,1,1
17,1.085339069366455,0.03667591139674187,13,2,2,1,0.9974914193153381,1,1
18,1.083974003791809,0.03605896979570389,13,2,2,1,0.9974653720855713,1,1
19,1.0826114416122437,0.03542261943221092,13,2,2,1,0.9974390864372253,1,1
20,1.081636667251587,0.03491702675819397,13,2,2,1,0.997420072555542,1,1
21,1.0809108018875122,0.03451477736234665,13,2,2,1,0.9974057078361511,1,1
22,1.0801349878311157,0.034189265221357346,13,2,2,1,0.997390627861023,1,1
23,1.0790942907333374,0.03383791819214821,13,2,2,1,0.9973701238632202,1,1
24,1.0785831212997437,0.03358377516269684,13,2,2,1,0.9973599314689636,1,1
25,1.0783085823059082,0.03342089056968689,13,2,2,1,0.9973544478416443,1,1
26,1.0787653923034668,0.03352031856775284,13,2,2,1,0.997363805770874,1,1
27,1.0793849229812622,0.03368363901972771,13,2,2,1,0.9973761439323425,1,1
28,1.0806927680969238,0.03402139991521835,13,2,2,1,0.9974020719528198,1,1
29,1.081878900527954,0.03439339995384216,13,2,2,1,0.9974251985549927,1,1
30,1.0826107263565063,0.034658852964639664,13,2,2,1,0.9974395036697388,1,1
31,1.0833353996276855,0.03493403643369675,13,2,2,1,0.9974533915519714,1,1
32,1.084091305732727,0.0351356640458107,13,2,2,1,0.9974678158760071,1,1
33,1.0845931768417358,0.035242822021245956,13,2,2,1,0.9974772930145264,1,1
34,1.0849958658218384,0.0353546105325222,13,2,2,1,0.9974847435951233,1,1
35,1.0853992700576782,0.03558515012264252,13,2,2,1,0.997492253780365,1,1
36,1.0858674049377441,0.03587162122130394,13,2,2,1,0.9975011348724365,1,1
37,1.086340069770813,0.03617187589406967,13,2,2,1,0.9975103139877319,1,1
38,1.0871065855026245,0.036661650985479355,13,2,2,1,0.9975249171257019,1,1
39,1.088002324104309,0.03730827197432518,13,2,2,1,0.9975420832633972,1,1
40,1.0886393785476685,0.03784579411149025,13,2,2,1,0.9975543022155762,1,1
41,1.089161992073059,0.038375578820705414,13,2,2,1,0.9975645542144775,1,1
42,1.0898913145065308,0.038943566381931305,13,2,2,1,0.997578501701355,1,1
43,1.0904855728149414,0.0394848994910717,13,2,2,1,0.9975898265838623,1,1
44,1.09064781665802,0.03978876769542694,13,2,2,1,0.9975930452346802,1,1
45,1.0909854173660278,0.04003070294857025,13,2,2,1,0.9975991249084473,1,1
46,1.0913678407669067,0.04023810103535652,13,2,2,1,0.9976062178611755,1,1
47,1.0916672945022583,0.0404161661863327,13,2,2,1,0.9976115822792053,1,1
48,1.0917547941207886,0.04051096364855766,13,2,2,1,0.9976131319999695,1,1
49,1.0916601419448853,0.04047553241252899,13,2,2,1,0.997611403465271,1,1
50,1.091333270072937,0.04025162756443024,13,2,2,1,0.99760502576828,1,1
51,1.0909759998321533,0.040003545582294464,13,2,2,1,0.9975981712341309,1,1
52,1.090448260307312,0.03972184658050537,13,2,2,1,0.9975884556770325,1,1
53,1.0897445678710938,0.039313994348049164,13,2,2,1,0.9975754618644714,1,1
54,1.089190125465393,0.03894989192485809,13,2,2,1,0.997564971446991,1,1
55,1.0883337259292603,0.038541942834854126,13,2,2,1,0.9975491762161255,1,1
56,1.0870342254638672,0.038033317774534225,13,2,2,1,0.9975250959396362,1,1
