name,FP1,FPZ,FP2,AF3,AF4,F7,F5,F3,F1,FZ,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO7,PO5,PO3,POZ,PO4,PO6,PO8,CB1,O1,OZ,O2,CB2
FP1,0.5144824385643005,0.009010354056954384,0.009287288412451744,0.008704098872840405,0.008027293719351292,0.007899424061179161,0.00789360236376524,0.008028079755604267,0.008095829747617245,0.008652967400848866,0.008244744502007961,0.008185803890228271,0.008359608240425587,0.007760707754641771,0.008165453560650349,0.008202161639928818,0.008124458603560925,0.008030719123780727,0.008061163127422333,0.007760120090097189,0.007685331627726555,0.008024225942790508,0.008069931529462337,0.007514003198593855,0.007829893380403519,0.0076478165574371815,0.007713499013334513,0.008028858341276646,0.007870174944400787,0.007568670902401209,0.00727095128968358,0.007620129734277725,0.007574460469186306,0.007658874616026878,0.008017586544156075,0.00760089885443449,0.00775753753259778,0.00782773271203041,0.007924596779048443,0.007708026561886072,0.007549199275672436,0.007473690435290337,0.007768541574478149,0.008056392893195152,0.007711413316428661,0.007775181904435158,0.007909507490694523,0.00774057861417532,0.007851439528167248,0.007926011458039284,0.007857891730964184,0.007940556854009628,0.007885005325078964,0.007664415054023266,0.00791002344340086,0.007905366830527782,0.00791525561362505,0.007889378815889359,0.00809659156948328,0.008064132183790207,0.00795480515807867,0.007821031846106052
FPZ,0.009010354056954384,0.5251102447509766,0.009199812076985836,0.007993056438863277,0.008214454166591167,0.007670319639146328,0.0075952112674713135,0.007674097083508968,0.008066450245678425,0.008607474155724049,0.008369925431907177,0.008219784125685692,0.008067536167800426,0.007415874395519495,0.007968122139573097,0.007708460092544556,0.008203031495213509,0.008033951744437218,0.007918386720120907,0.007764515466988087,0.00734449690207839,0.00775323249399662,0.007860040292143822,0.007055674213916063,0.007416327949613333,0.007584754843264818,0.0077325222082436085,0.007666333112865686,0.007758738473057747,0.007262102328240871,0.0067611802369356155,0.007540775928646326,0.006969535257667303,0.007395741995424032,0.007588780485093594,0.007539302576333284,0.007483580149710178,0.007546614855527878,0.007584656123071909,0.007408907637000084,0.007032179739326239,0.007366172503679991,0.007215000689029694,0.007571327965706587,0.007480286527425051,0.007953121326863766,0.007604115642607212,0.007305333856493235,0.007480919361114502,0.007604575250297785,0.0075734565034508705,0.007633806671947241,0.007928043603897095,0.007643210235983133,0.007510264404118061,0.007513799704611301,0.0074997274205088615,0.007221757899969816,0.007938185706734657,0.007843832485377789,0.007574103306978941,0.0076944115571677685
FP2,0.009287288412451744,0.009199812076985836,0.5147125124931335,0.008292607963085175,0.008429748006165028,0.007575701456516981,0.008079231716692448,0.007934178225696087,0.008134087547659874,0.008548619225621223,0.008404322899878025,0.008471855893731117,0.008700893260538578,0.007803008425980806,0.008356854319572449,0.008161951787769794,0.008073654025793076,0.00827962625771761,0.008068244904279709,0.008219731040298939,0.007689844351261854,0.00789226870983839,0.008001851849257946,0.007366453763097525,0.007767293136566877,0.007770746946334839,0.0077742417342960835,0.007781055755913258,0.007738849613815546,0.007666940800845623,0.007201161235570908,0.007522753905504942,0.007227539084851742,0.007621997036039829,0.00774290319532156,0.00762814749032259,0.007570032030344009,0.007873867638409138,0.007868671789765358,0.007793137338012457,0.007192391436547041,0.007520575076341629,0.007500404957681894,0.007860757410526276,0.007656783331185579,0.008044317364692688,0.007890095002949238,0.0076937247067689896,0.00795798934996128,0.00786579865962267,0.007925416342914104,0.007970240898430347,0.008183127269148827,0.007751475553959608,0.007835573516786098,0.007893749512732029,0.007880795747041702,0.0075238910503685474,0.008212054148316383,0.008017857559025288,0.007904811762273312,0.007892400957643986
AF3,0.008704098872840405,0.007993056438863277,0.008292607963085175,0.5117588043212891,0.007762713357806206,0.007954579778015614,0.008143045008182526,0.008064796216785908,0.008202511817216873,0.008424399420619011,0.008260518312454224,0.008487658575177193,0.008233186788856983,0.007814153097569942,0.008481194265186787,0.00830517802387476,0.007833470590412617,0.00828675739467144,0.008664158172905445,0.007890725508332253,0.007693159859627485,0.008238473907113075,0.007624694611877203,0.007576239760965109,0.008039471693336964,0.007751259487122297,0.0076917619444429874,0.008413287810981274,0.007794554810971022,0.007926588878035545,0.007520736660808325,0.0074973939917981625,0.007860793732106686,0.007841314189136028,0.008788112550973892,0.007780842948704958,0.007989887148141861,0.0076674832962453365,0.007871849462389946,0.007681877352297306,0.007621466647833586,0.007740707136690617,0.007898312993347645,0.008511810563504696,0.00781313143670559,0.007511923089623451,0.007907841354608536,0.007951953448355198,0.007917365990579128,0.008472871966660023,0.007790896110236645,0.008401918224990368,0.007781000342220068,0.007706405129283667,0.007928953506052494,0.008096273988485336,0.008150660432875156,0.008238594979047775,0.007821466773748398,0.007730716839432716,0.007912090979516506,0.007899638265371323
AF4,0.008027293719351292,0.008214454166591167,0.008429748006165028,0.007762713357806206,0.5131552815437317,0.008009642362594604,0.007872896268963814,0.007888637483119965,0.008217908442020416,0.008275734260678291,0.00843858253210783,0.00841578934341669,0.008067265152931213,0.007709914818406105,0.007797136902809143,0.007983949966728687,0.008281068876385689,0.008087043650448322,0.007879775017499924,0.007875977084040642,0.007846713066101074,0.007882820442318916,0.007694955915212631,0.007446166593581438,0.007794774137437344,0.008444487117230892,0.007793832570314407,0.007964861579239368,0.007764026522636414,0.008073647506535053,0.007697473745793104,0.0075026508420705795,0.007706098724156618,0.007740278262645006,0.007880540564656258,0.00796138308942318,0.008160370402038097,0.008097272366285324,0.007983887568116188,0.0078109209425747395,0.007395876571536064,0.00749006075784564,0.008077072910964489,0.00806666724383831,0.007347347680479288,0.008169999346137047,0.008035960607230663,0.008394457399845123,0.007990680634975433,0.007932938635349274,0.008400440216064453,0.007907518185675144,0.008383633568882942,0.007674728520214558,0.007776390295475721,0.008064049296081066,0.008017049171030521,0.007774885278195143,0.008374892175197601,0.007937571965157986,0.00826258771121502,0.008179359138011932
F7,0.007899424061179161,0.007670319639146328,0.007575701456516981,0.007954579778015614,0.008009642362594604,0.5268285274505615,0.007949652150273323,0.0075019169598817825,0.007505225948989391,0.007964594289660454,0.007543488871306181,0.007700469344854355,0.007485723588615656,0.007404207251966,0.007803655695170164,0.008218050934374332,0.007924748584628105,0.007467798423022032,0.007536504417657852,0.007299686782062054,0.007412114180624485,0.007880831137299538,0.007722719106823206,0.007543998304754496,0.007828570902347565,0.007610426750034094,0.007255832199007273,0.00819307379424572,0.007706625387072563,0.0075774891301989555,0.0073384614661335945,0.007900557480752468,0.007671785075217485,0.007363152224570513,0.008022898808121681,0.007379026617854834,0.007729063741862774,0.007435579784214497,0.0076478286646306515,0.007360097486525774,0.007336045615375042,0.007621359080076218,0.0080283647403121,0.007899194024503231,0.007522204890847206,0.007444646675139666,0.007398971356451511,0.007790157571434975,0.007583911065012217,0.007821660488843918,0.007697040680795908,0.007542829494923353,0.007671474479138851,0.0075254784896969795,0.007613747846335173,0.007732400670647621,0.007676803506910801,0.007749684154987335,0.007502972614020109,0.0074434587731957436,0.007649201899766922,0.007876913994550705
F5,0.00789360236376524,0.0075952112674713135,0.008079231716692448,0.008143045008182526,0.007872896268963814,0.007949652150273323,0.5178025364875793,0.008297652006149292,0.007956670597195625,0.007780259475111961,0.007678508758544922,0.008303237147629261,0.008373167365789413,0.008243776857852936,0.008662998676300049,0.008370673283934593,0.007970736362040043,0.00806050468236208,0.00785813108086586,0.008092491887509823,0.007888290099799633,0.00818098708987236,0.007805136498063803,0.008115448988974094,0.008267424069344997,0.007893119938671589,0.00783541053533554,0.007842368446290493,0.007622544188052416,0.007911045104265213,0.007749675307422876,0.007759805303066969,0.007670996710658073,0.007872231304645538,0.007925530895590782,0.007682070601731539,0.007584731560200453,0.007599570322781801,0.007401798386126757,0.007636186201125383,0.0076211499981582165,0.007741395849734545,0.00757633987814188,0.007892528548836708,0.007607937324792147,0.007607923820614815,0.007697590626776218,0.0076417867094278336,0.007870984263718128,0.008121219463646412,0.007490726187825203,0.007917892187833786,0.007656995672732592,0.00779435969889164,0.007885548286139965,0.007864918559789658,0.007942677475512028,0.007476079277694225,0.007534633856266737,0.007533838506788015,0.007692858576774597,0.007899015210568905
F3,0.008028079755604267,0.007674097083508968,0.007934178225696087,0.008064796216785908,0.007888637483119965,0.0075019169598817825,0.008297652006149292,0.5207847356796265,0.00832609087228775,0.00794114451855421,0.008065242320299149,0.007822860032320023,0.00781345833092928,0.007604838348925114,0.007984301075339317,0.008232098072767258,0.008102752268314362,0.008442997932434082,0.008142015896737576,0.00804048404097557,0.007791191339492798,0.00761225214228034,0.007586298976093531,0.007692334707826376,0.007829052396118641,0.007739094085991383,0.007954658009111881,0.007748120464384556,0.007697990629822016,0.007834741845726967,0.007815957069396973,0.007369448430836201,0.007791837211698294,0.008016103878617287,0.007571608293801546,0.007588087115436792,0.007661955431103706,0.007609478197991848,0.007731939200311899,0.007940465584397316,0.007411635480821133,0.007571327965706587,0.00773628568276763,0.007605680264532566,0.007773794699460268,0.007593704853206873,0.0076655615121126175,0.00777520751580596,0.0077532632276415825,0.007602095603942871,0.007672356441617012,0.007665788754820824,0.007807634770870209,0.007640614174306393,0.007702037692070007,0.007723089307546616,0.0077421232126653194,0.007713254541158676,0.00776347890496254,0.00769473472610116,0.007575211115181446,0.007697323337197304
F1,0.008095829747617245,0.008066450245678425,0.008134087547659874,0.008202511817216873,0.008217908442020416,0.007505225948989391,0.007956670597195625,0.00832609087228775,0.5103731751441956,0.008399510756134987,0.008766134269535542,0.008355825208127499,0.008170840330421925,0.008090976625680923,0.008040230721235275,0.007658079266548157,0.008714764378964901,0.009053711779415607,0.0086787985637784,0.008209969848394394,0.007958232425153255,0.008108485490083694,0.007717106491327286,0.007672515697777271,0.0077532497234642506,0.008284731768071651,0.008207488805055618,0.007847309112548828,0.007834979332983494,0.008143715560436249,0.007749812211841345,0.007396090310066938,0.007819689810276031,0.00799067597836256,0.0076894150115549564,0.008470957167446613,0.007974354550242424,0.008288303390145302,0.007890497334301472,0.008120500482618809,0.0073908292688429356,0.007704606279730797,0.007496965117752552,0.008042498491704464,0.007604533806443214,0.0082857646048069,0.008569162338972092,0.008018378168344498,0.008110553957521915,0.008112701587378979,0.007784845773130655,0.008157571777701378,0.007926101796329021,0.00754723884165287,0.007914425805211067,0.00788696389645338,0.008184690959751606,0.007591350004076958,0.008138474076986313,0.007990619167685509,0.00803714245557785,0.007738655433058739
FZ,0.008652967400848866,0.008607474155724049,0.008548619225621223,0.008424399420619011,0.008275734260678291,0.007964594289660454,0.007780259475111961,0.00794114451855421,0.008399510756134987,0.5061604380607605,0.008523575030267239,0.008570079691708088,0.008335800841450691,0.007834777235984802,0.008170278742909431,0.0080965431407094,0.008620177395641804,0.008692951872944832,0.008500705473124981,0.008165448904037476,0.007718272972851992,0.008258945308625698,0.008076230995357037,0.007544948253780603,0.008040552958846092,0.007984627969563007,0.007996587082743645,0.00814338680356741,0.008397426456212997,0.0077857947908341885,0.007395812775939703,0.007902185432612896,0.007677192334085703,0.007848555222153664,0.008243415504693985,0.007935398258268833,0.00796964019536972,0.008136589080095291,0.008302581496536732,0.007993143983185291,0.007740270346403122,0.007848018780350685,0.007861552760004997,0.008329946547746658,0.007930791936814785,0.008283562026917934,0.008234599605202675,0.00793924368917942,0.008143017999827862,0.008238437585532665,0.008044091984629631,0.008181437849998474,0.008280927315354347,0.00784836895763874,0.008170019835233688,0.008142095990478992,0.008138435892760754,0.007924381643533707,0.00844087265431881,0.008347652852535248,0.008219272829592228,0.008167093619704247
