stage,sample_index,pca_1,pca_2,emotion_id,emotion_name,subject_id_0_based,partition
raw,0,8.07070541381836,4.058626174926758,2,Positive,13,validation
raw,20,7.615715503692627,3.6162314414978027,2,Positive,13,validation
raw,22,7.537332534790039,3.4136040210723877,2,Positive,13,validation
raw,35,7.372380256652832,2.297433376312256,2,Positive,13,validation
raw,39,7.353627681732178,2.0734591484069824,2,Positive,13,validation
raw,46,7.3174662590026855,1.8098753690719604,2,Positive,13,validation
raw,47,7.317169189453125,1.7822951078414917,2,Positive,13,validation
raw,55,7.37507438659668,1.6926755905151367,2,Positive,13,validation
raw,57,7.39276647567749,1.6791471242904663,2,Positive,13,validation
raw,68,7.359982967376709,1.4146102666854858,2,Positive,13,validation
raw,82,7.329443454742432,0.9748525619506836,2,Positive,13,validation
raw,86,7.3509063720703125,0.8473805785179138,2,Positive,13,validation
raw,92,7.347067832946777,0.6621728539466858,2,Positive,13,validation
raw,106,7.588778495788574,0.5738710761070251,2,Positive,13,validation
raw,109,7.680291175842285,0.6105309128761292,2,Positive,13,validation
raw,110,7.708742618560791,0.6278340816497803,2,Positive,13,validation
raw,132,8.077401161193848,0.7386260032653809,2,Positive,13,validation
raw,133,8.090367317199707,0.716671884059906,2,Positive,13,validation
raw,136,8.118932723999023,0.6433171033859253,2,Positive,13,validation
raw,146,8.30244255065918,0.48511356115341187,2,Positive,13,validation
raw,147,8.341017723083496,0.48579341173171997,2,Positive,13,validation
raw,148,8.382356643676758,0.4888324737548828,2,Positive,13,validation
raw,153,8.47222900390625,0.41468751430511475,2,Positive,13,validation
raw,162,8.497166633605957,0.11143502593040466,2,Positive,13,validation
raw,164,8.483101844787598,0.04412252828478813,2,Positive,13,validation
raw,168,8.486174583435059,0.01682829111814499,2,Positive,13,validation
raw,170,8.48668098449707,0.006925795692950487,2,Positive,13,validation
raw,171,8.491000175476074,0.011512672528624535,2,Positive,13,validation
raw,172,8.49599838256836,0.023846568539738655,2,Positive,13,validation
raw,173,8.495918273925781,0.03450041636824608,2,Positive,13,validation
raw,174,8.48531436920166,0.03675670921802521,2,Positive,13,validation
raw,175,8.468561172485352,0.0455949530005455,2,Positive,13,validation
raw,178,8.39789867401123,0.08104696124792099,2,Positive,13,validation
raw,182,8.26934814453125,0.11586159467697144,2,Positive,13,validation
raw,185,8.117390632629395,0.03468386456370354,2,Positive,13,validation
raw,188,7.970585823059082,-0.05508295074105263,2,Positive,13,validation
raw,198,7.603998184204102,-0.11813922226428986,2,Positive,13,validation
raw,199,7.569933891296387,-0.12648260593414307,2,Positive,13,validation
raw,203,7.469185829162598,-0.12219992280006409,2,Positive,13,validation
raw,204,7.453926086425781,-0.10901791602373123,2,Positive,13,validation
raw,210,7.424413204193115,0.03618669882416725,2,Positive,13,validation
raw,216,7.39260196685791,0.11207444965839386,2,Positive,13,validation
raw,217,7.382567405700684,0.12498777359724045,2,Positive,13,validation
raw,221,7.332529067993164,0.20072132349014282,2,Positive,13,validation
raw,223,7.325326442718506,0.26721009612083435,2,Positive,13,validation
raw,224,7.322945594787598,0.2881702184677124,2,Positive,13,validation
raw,225,7.328312397003174,0.3043445348739624,2,Positive,13,validation
raw,227,7.330848217010498,0.31604278087615967,2,Positive,13,validation
raw,233,7.2303547859191895,0.19953030347824097,2,Positive,13,validation
raw,241,3.2028255462646484,1.0352473258972168,1,Neutral,13,validation
raw,245,3.0051052570343018,0.8424837589263916,1,Neutral,13,validation
raw,253,2.6844706535339355,0.5261682868003845,1,Neutral,13,validation
raw,261,2.414600133895874,0.2754368185997009,1,Neutral,13,validation
raw,264,2.3535234928131104,0.20012487471103668,1,Neutral,13,validation
raw,279,1.8296208381652832,-0.4212789833545685,1,Neutral,13,validation
raw,284,1.6729164123535156,-0.5378240942955017,1,Neutral,13,validation
raw,288,1.5780385732650757,-0.5162658095359802,1,Neutral,13,validation
raw,289,1.5689560174942017,-0.4979230761528015,1,Neutral,13,validation
raw,290,1.5717099905014038,-0.46658310294151306,1,Neutral,13,validation
raw,299,1.5485002994537354,-0.16841572523117065,1,Neutral,13,validation
raw,306,1.5480210781097412,0.18815189599990845,1,Neutral,13,validation
raw,309,1.546447992324829,0.3427141010761261,1,Neutral,13,validation
raw,311,1.5070279836654663,0.3806467056274414,1,Neutral,13,validation
raw,338,0.6458469033241272,0.2298504114151001,1,Neutral,13,validation
raw,339,0.6510128378868103,0.23353596031665802,1,Neutral,13,validation
raw,341,0.6542360186576843,0.20840135216712952,1,Neutral,13,validation
raw,342,0.6540433764457703,0.18245765566825867,1,Neutral,13,validation
raw,345,0.632327139377594,0.08354877680540085,1,Neutral,13,validation
raw,348,0.5894616842269897,-0.012576853856444359,1,Neutral,13,validation
raw,350,0.5323603749275208,-0.10028035938739777,1,Neutral,13,validation
raw,359,0.19077177345752716,-0.41334912180900574,1,Neutral,13,validation
raw,365,0.0050774430856108665,-0.5191968083381653,1,Neutral,13,validation
raw,369,-0.09155384451150894,-0.5018482208251953,1,Neutral,13,validation
raw,373,-0.17408554255962372,-0.4409838318824768,1,Neutral,13,validation
