variant,sample_index,subject,true_class,pseudo_class,reliability,selected,pseudo_correct,pc1,pc2
no_prototype,0,13,2,2,0.999965250492096,1,1,-0.9187154769897461,0.2144315391778946
no_prototype,1,13,2,2,0.9999655485153198,1,1,-0.9188020825386047,0.21410340070724487
no_prototype,2,13,2,2,0.9999660849571228,1,1,-0.9189261794090271,0.21363237500190735
no_prototype,3,13,2,2,0.999966561794281,1,1,-0.9190552830696106,0.2131395936012268
no_prototype,4,13,2,2,0.9999672770500183,1,1,-0.9192585349082947,0.21236582100391388
no_prototype,5,13,2,2,0.9999681115150452,1,1,-0.9195007681846619,0.21143269538879395
no_prototype,6,13,2,2,0.9999681711196899,1,1,-0.9182109236717224,0.2158033847808838
no_prototype,7,13,2,2,0.9999687671661377,1,1,-0.9181572794914246,0.21589966118335724
no_prototype,8,13,2,2,0.9999697804450989,1,1,-0.9186126589775085,0.21427258849143982
no_prototype,9,13,2,2,0.9999707937240601,1,1,-0.9191009998321533,0.21250741183757782
no_prototype,10,13,2,2,0.9999714493751526,1,1,-0.919438898563385,0.21126337349414825
no_prototype,11,13,2,2,0.9999716281890869,1,1,-0.9195699691772461,0.21077759563922882
no_prototype,12,13,2,2,0.9999721050262451,1,1,-0.919789731502533,0.20994381606578827
no_prototype,13,13,2,2,0.9999727606773376,1,1,-0.9201020002365112,0.20873689651489258
no_prototype,14,13,2,2,0.9999734163284302,1,1,-0.9203982353210449,0.20756837725639343
no_prototype,15,13,2,2,0.9999738335609436,1,1,-0.9205834865570068,0.20682530105113983
no_prototype,16,13,2,2,0.9999743103981018,1,1,-0.9207817316055298,0.2060191035270691
no_prototype,17,13,2,2,0.9999747276306152,1,1,-0.9209787845611572,0.2052021026611328
no_prototype,18,13,2,2,0.9999752640724182,1,1,-0.9212145805358887,0.2041722983121872
no_prototype,19,13,2,2,0.9999758005142212,1,1,-0.9214106798171997,0.20329809188842773
no_prototype,20,13,2,2,0.999976396560669,1,1,-0.9216414093971252,0.20225420594215393
no_prototype,21,13,2,2,0.9999768733978271,1,1,-0.9218223690986633,0.20142631232738495
no_prototype,22,13,2,2,0.9999772310256958,1,1,-0.9219470620155334,0.200848788022995
no_prototype,23,13,2,2,0.9999773502349854,1,1,-0.9220129251480103,0.20053967833518982
no_prototype,24,13,2,2,0.999977707862854,1,1,-0.9221135377883911,0.20006804168224335
no_prototype,25,13,2,2,0.9999778270721436,1,1,-0.9221680164337158,0.19980932772159576
no_prototype,26,13,2,2,0.9999778866767883,1,1,-0.9221839904785156,0.19972848892211914
no_prototype,27,13,2,2,0.9999778270721436,1,1,-0.922168493270874,0.19981315732002258
no_prototype,28,13,2,2,0.9999779462814331,1,1,-0.9221940636634827,0.19969552755355835
no_prototype,29,13,2,2,0.9999778270721436,1,1,-0.9221755266189575,0.1997889131307602
no_prototype,30,13,2,2,0.9999778270721436,1,1,-0.922179639339447,0.1997671276330948
no_prototype,31,13,2,2,0.9999780058860779,1,1,-0.9222129583358765,0.19960123300552368
no_prototype,32,13,2,2,0.9999781250953674,1,1,-0.9222548604011536,0.1993773877620697
no_prototype,33,13,2,2,0.9999781250953674,1,1,-0.9222854375839233,0.19919699430465698
no_prototype,34,13,2,2,0.9999780058860779,1,1,-0.9222751259803772,0.1992124617099762
no_prototype,35,13,2,2,0.9999780058860779,1,1,-0.9222551584243774,0.19927871227264404
no_prototype,36,13,2,2,0.9999778866767883,1,1,-0.9222243428230286,0.1993945837020874
no_prototype,37,13,2,2,0.9999777674674988,1,1,-0.9221968650817871,0.19950497150421143
no_prototype,38,13,2,2,0.999977707862854,1,1,-0.9221563339233398,0.199692502617836
no_prototype,39,13,2,2,0.9999775886535645,1,1,-0.9221291542053223,0.1998147964477539
no_prototype,40,13,2,2,0.9999775290489197,1,1,-0.9220917224884033,0.19998028874397278
no_prototype,41,13,2,2,0.9999773502349854,1,1,-0.9220693707466125,0.2000654637813568
no_prototype,42,13,2,2,0.9999773502349854,1,1,-0.9220650792121887,0.2000771462917328
no_prototype,43,13,2,2,0.9999773502349854,1,1,-0.9220521450042725,0.20012184977531433
no_prototype,44,13,2,2,0.9999772310256958,1,1,-0.9220022559165955,0.20034492015838623
no_prototype,45,13,2,2,0.9999770522117615,1,1,-0.9219484925270081,0.20059095323085785
no_prototype,46,13,2,2,0.9999770522117615,1,1,-0.9219111800193787,0.20074304938316345
no_prototype,47,13,2,2,0.9999768733978271,1,1,-0.921859085559845,0.20097391307353973
no_prototype,48,13,2,2,0.9999766945838928,1,1,-0.9217828512191772,0.20133882761001587
no_prototype,49,13,2,2,0.9999764561653137,1,1,-0.9217095375061035,0.20169687271118164
no_prototype,50,13,2,2,0.9999762177467346,1,1,-0.9216005802154541,0.2022322714328766
no_prototype,51,13,2,2,0.9999759793281555,1,1,-0.9215121865272522,0.20267841219902039
no_prototype,52,13,2,2,0.9999759793281555,1,1,-0.9215133190155029,0.20270465314388275
no_prototype,53,13,2,2,0.9999761581420898,1,1,-0.9215674996376038,0.2024739384651184
no_prototype,54,13,2,2,0.9999764561653137,1,1,-0.9216268062591553,0.20221272110939026
no_prototype,55,13,2,2,0.9999768137931824,1,1,-0.9217270612716675,0.20174840092658997
no_prototype,56,13,2,2,0.9999773502349854,1,1,-0.9219076037406921,0.20088118314743042
no_prototype,57,13,2,2,0.9999780654907227,1,1,-0.9221042394638062,0.19995930790901184
no_prototype,58,13,2,2,0.9999787211418152,1,1,-0.9223239421844482,0.19889619946479797
no_prototype,59,13,2,2,0.9999794363975525,1,1,-0.9225727319717407,0.19765526056289673
no_prototype,60,13,2,2,0.9999802112579346,1,1,-0.9228230714797974,0.19639447331428528
no_prototype,61,13,2,2,0.9999808073043823,1,1,-0.923077404499054,0.19515350461006165
no_prototype,62,13,2,2,0.9999812841415405,1,1,-0.923297643661499,0.19415178894996643
no_prototype,63,13,2,2,0.9999816417694092,1,1,-0.9234933257102966,0.19334940612316132
no_prototype,64,13,2,2,0.9999819397926331,1,1,-0.9236874580383301,0.1926109790802002
no_prototype,65,13,2,2,0.9999821782112122,1,1,-0.923865556716919,0.19195213913917542
no_prototype,66,13,2,2,0.9999823570251465,1,1,-0.9240439534187317,0.19131812453269958
no_prototype,67,13,2,2,0.9999825358390808,1,1,-0.9242056608200073,0.1907636821269989
no_prototype,68,13,2,2,0.9999827742576599,1,1,-0.9243527054786682,0.1902710348367691
no_prototype,69,13,2,2,0.9999831318855286,1,1,-0.9245980978012085,0.18980512022972107
no_prototype,70,13,2,2,0.9999865293502808,1,1,-0.9275210499763489,0.18937212228775024
no_prototype,71,13,2,2,0.9999870657920837,1,1,-0.9284441471099854,0.18891015648841858
no_prototype,72,13,2,2,0.999987006187439,1,1,-0.9284878969192505,0.18883714079856873
no_prototype,73,13,2,2,0.999987006187439,1,1,-0.9285019040107727,0.1888313889503479
no_prototype,74,13,2,2,0.9999870657920837,1,1,-0.928521454334259,0.18879203498363495
no_prototype,75,13,2,2,0.999987006187439,1,1,-0.92854905128479,0.18872809410095215
no_prototype,76,13,2,2,0.9999871253967285,1,1,-0.9285672903060913,0.18869444727897644
no_prototype,77,13,2,2,0.9999871253967285,1,1,-0.9285802841186523,0.18865948915481567
no_prototype,78,13,2,2,0.9999870657920837,1,1,-0.9286014437675476,0.18858042359352112
no_prototype,79,13,2,2,0.9999871253967285,1,1,-0.9286080598831177,0.18856659531593323
no_prototype,80,13,2,2,0.9999870657920837,1,1,-0.9286326169967651,0.18847376108169556
no_prototype,81,13,2,2,0.9999870657920837,1,1,-0.9286583065986633,0.18836334347724915
no_prototype,82,13,2,2,0.9999871253967285,1,1,-0.9286717772483826,0.18830299377441406
no_prototype,83,13,2,2,0.9999870657920837,1,1,-0.9286808371543884,0.1882430464029312
no_prototype,84,13,2,2,0.9999871253967285,1,1,-0.9286798238754272,0.18822868168354034
no_prototype,85,13,2,2,0.9999870657920837,1,1,-0.9286989569664001,0.18810874223709106
no_prototype,86,13,2,2,0.9999871253967285,1,1,-0.9287044405937195,0.18804875016212463
no_prototype,87,13,2,2,0.9999871253967285,1,1,-0.9287061095237732,0.18803049623966217
no_prototype,88,13,2,2,0.9999871253967285,1,1,-0.9287062287330627,0.18800899386405945
no_prototype,89,13,2,2,0.9999871253967285,1,1,-0.9287055134773254,0.1879814863204956
no_prototype,90,13,2,2,0.9999871253967285,1,1,-0.928712785243988,0.1879248321056366
no_prototype,91,13,2,2,0.9999871253967285,1,1,-0.9287222623825073,0.18784067034721375
